id,dup
103,104
144,145
248,258
264,265
269,266
264,268
578,269
526,294
291,315
134,316
296,330
291,338
301,342
147,350
1343,354
356,357
296,393
307,407
369,418
1343,421
461,460
264,462
821,487
391,489
136,535
367,662
296,679
725,724
2149,727
356,762
2121,810
813,814
813,815
828,830
667,846
1014,934
723,990
367,1008
160,1038
1613,1066
1065,1080
635,1231
1248,1249
875,1282
1182,1340
1613,1362
749,1440
1371,1449
1657,1460
1550,1551
1095,1594
1063,1640
749,1659
1673,1678
1724,1723
1733,1737
1756,1739
300,1755
1388,1769
345,1822
1851,1853
837,1863
1219,1906
2469,1944
2136,1956
368,1979
1380,1997
1880,2045
2069,2070
383,2072
1063,2085
2091,2092
2121,2122
1998,2127
2048,2131
2118,2147
2199,2178
1673,2208
964,2331
383,2366
986,2371
296,2382
1030,2487
