id,short_desc_processed,product,component,reporter,bug_status,resolution,priority,bug_severity,version,short_desc,opendate,dup_list,root_id,disc_id
2,testing boog zee la setup log,Log4j -,Layout,bugzilla,CLOS,FIXE,P3,nor,unspe,Just testing the Boogzeela setup for log4j,1/8/2001,,,
3,file share,Log4j -,Appender,matthew_scully,RESO,FIXE,P3,nor,unspe,file sharing,1/8/2001,,,
22,need hook user define error handle,Apache h,All,greenrd,CLOS,WONT,P5,enh,2.0-H,Need hooks for user-defined error handling,1/9/2001,,,
27,error format layout,Log4j -,Layout,richard.mccarthy,RESO,INVA,P1,nor,1,Error in the formatting of the (%F:%L) layout options,1/10/2001,,,
29,call category error object throw able thro,Log4j -,Other,woge,RESO,FIXE,P3,nor,1,"Calling Category.error(Object, Throwable) throws NullPointerException in Version 1.0.2",1/11/2001,,,
31,conversion log priority type nt event,Log4j -,Appender,jvendetti,RESO,FIXE,P1,min,1,Conversion of log4j Priority types to NT EventLog types not working,1/11/2001,,,
32,typo,Log4j -,Other,amc1,RESO,FIXE,P5,min,1,Typo's,1/11/2001,,,
34,stream corrupt exception socket ppe,Log4j -,Appender,achan,RESO,REMI,P1,maj,1,StreamCorruptedException when using SocketAppender,1/12/2001,,,
35,custom priority lose send remote,Log4j -,Other,mark_douglas,RESO,FIXE,P1,min,1,Custom Priorities are lost when sent to remote logging server,1/15/2001,,,
43,applet viewer category bug,Log4j -,Other,timurz,RESO,FIXE,P3,maj,1,appletviewer/Category bug,1/21/2001,,,
44,documentation error,Log4j -,Other,amc1,RESO,FIXE,P5,min,1,Documentation errors,1/21/2001,,,
45,add support css property display,Batik -,Bridge,vincent.hardy,CLOS,LATE,P1,nor,1.0 B,Add support for the CSS properties 'display',1/22/2001,,,
46,add marker support,Batik -,(RFE) Re,vincent.hardy,CLOS,FIXE,P1,nor,1.0 B,Add marker support,1/22/2001,,,
47,modify thumbnail aoi marker,Batik -,SVG View,vincent.hardy,CLOS,FIXE,P1,nor,1.0 B,Modify thumbnail AOI marker,1/22/2001,,,
48,hue rotate bug color matrix,Batik -,GVT Filt,vincent.hardy,RESO,FIXE,P1,nor,1.0 B,hueRotate bug in ColorMatrix,1/22/2001,,,
49,anti aliased clipping,Batik -,GVT Filt,vincent.hardy,RESO,FIXE,P1,nor,1.0 B,Antialiased clipping,1/22/2001,,,
50,new layout engine span text dx dy,Batik -,GVT Text,vincent.hardy,RESO,FIXE,P1,nor,1.0 B,New layout engine for tspan/text x/y/dx/dy,1/22/2001,,,
51,use double buffer repaint,Batik -,SVG View,vincent.hardy,CLOS,FIXE,P1,nor,1.0 B,Use double buffer in repaint,1/22/2001,,,
52,remove tr href svg syntax,Batik -,SVGGraph,vincent.hardy,RESO,FIXE,P1,nor,1.0 B,Remove ATTR_HREF from SVGSyntax,1/22/2001,,,
53,implement static lu identity identity,Batik -,GVT Filt,vincent.hardy,RESO,FIXE,P1,nor,1.0 B,Implement static LUT for Identity in Identity Transfer,1/22/2001,,,
54,fe offset dx dy bug,Batik -,GVT Filt,vincent.hardy,RESO,FIXE,P1,nor,1.0 B,feOffset dx/dy bug,1/22/2001,,,
55,composite context optimization,Batik -,GVT Filt,vincent.hardy,RESO,FIXE,P1,nor,1.0 B,CompositeContext optimization,1/22/2001,,,
56,fix precision handle svg graphic,Batik -,SVGGraph,vincent.hardy,RESO,WONT,P1,nor,1.0 B,Fix precision handling in SVGGraphics2D,1/22/2001,,,
57,style book,Batik -,Web Site,vincent.hardy,RESO,FIXE,P1,nor,1.0 B,Move to stylebook 2,1/22/2001,,,
